Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,16008,2023-03-10,-0.082208376,-0.06490859,-0.064487037,21,100
Market-Adjusted Model,16009,2023-03-10,-0.073854196,-0.057117929,-0.056132856,21,100
Market-Adjusted Model,16012,2023-03-10,-0.355407438,-0.398074362,-0.337686098,21,100
Market-Adjusted Model,16015,2023-03-10,-0.026923991,-0.009785283,-0.009202651,21,100
Market-Adjusted Model,16017,2023-03-10,-0.021411172,-0.003680874,-0.003689832,21,100
Market-Adjusted Model,16018,2023-03-10,-0.017133197,0.000686586,0.0005881428,21,100
Market-Adjusted Model,16019,2023-03-10,-0.053548377,-0.033933478,-0.035827037,21,100
Market-Adjusted Model,16020,2023-03-10,0.056482617,0.0761345262,0.0742039566,21,100
Market-Adjusted Model,16021,2023-03-10,-0.088857685,-0.061174365,-0.071136346,21,100
Market-Adjusted Model,16034,2023-03-10,0.0681817559,0.0925765631,0.0859030955,21,100
Market-Adjusted Model,16043,2023-03-10,-0.406399344,-0.475905642,-0.388678004,21,100
Market-Adjusted Model,16044,2023-03-10,-0.215421325,-0.2182563,-0.197699986,21,100
Market-Adjusted Model,16048,2023-03-10,0.0148346394,0.032850073,0.032555979,21,100
Market-Adjusted Model,16049,2023-03-10,-0.344827621,-0.381339136,-0.327106281,21,100
Market-Adjusted Model,16055,2023-03-10,-0.000447437,0.017635365,0.0172739023,21,100
Market-Adjusted Model,16057,2023-03-10,0.0011788604,0.0180235692,0.0189002,21,100
Market-Adjusted Model,16059,2023-03-10,-0.012717838,0.0047397877,0.0050035018,21,100
Market-Adjusted Model,16060,2023-03-10,-0.020785066,-0.002775527,-0.003063726,21,100
Market-Adjusted Model,16062,2023-03-10,0.0404469489,0.0648871008,0.0581682885,21,100
Market-Adjusted Model,16063,2023-03-10,-0.174609227,-0.167593176,-0.156887888,21,100
Market-Adjusted Model,16064,2023-03-10,-0.017192773,0.0186657886,0.000528567,21,100
Market-Adjusted Model,16066,2023-03-10,0.1190476043,0.1463698095,0.1367689439,21,100
Market-Adjusted Model,16068,2023-03-10,0.6985134119,1.5178078644,0.7162347515,21,100
Market-Adjusted Model,16069,2023-03-10,0.2469351688,0.2486572728,0.25255281,9,100
Market-Adjusted Model,16070,2023-03-10,-0.257219294,-0.241916686,-0.239497954,21,100
Market-Adjusted Model,16071,2023-03-10,-0.068998181,-0.051594294,-0.051276842,21,100
Market-Adjusted Model,16075,2023-03-10,-0.080705681,-0.061859777,-0.062984341,21,100
Market-Adjusted Model,16076,2023-03-10,-0.09390694,-0.074086936,-0.076185601,21,100
Market-Adjusted Model,16077,2023-03-10,-0.207142827,-0.194184451,-0.189421487,21,100
Market-Adjusted Model,16080,2023-03-10,-0.066811531,-0.050958977,-0.049090191,21,100
Market-Adjusted Model,16082,2023-03-10,-0.127233849,-0.115008246,-0.109512509,21,100
Market-Adjusted Model,16083,2023-03-10,-0.043229391,-0.018735325,-0.025508051,21,100
Market-Adjusted Model,16084,2023-03-10,-0.081371022,-0.063519139,-0.063649682,21,100
Market-Adjusted Model,16086,2023-03-10,-0.160666341,-0.146777967,-0.142945002,21,100
Market-Adjusted Model,16087,2023-03-10,-0.027421705,-0.008696337,-0.009700366,21,100
Market-Adjusted Model,16090,2023-03-10,-0.2301587,-0.223905881,-0.212437361,21,100
Market-Adjusted Model,16092,2023-03-10,-0.019015238,-0.001098578,-0.001293899,21,100
Market-Adjusted Model,16093,2023-03-10,-0.013452917,0.0043892347,0.0042684223,21,100
Market-Adjusted Model,16094,2023-03-10,-0.010773989,0.0058747387,0.0069473505,21,100
Market-Adjusted Model,16097,2023-03-10,-0.10861694,-0.09107182,-0.090895601,21,100
Market-Adjusted Model,16098,2023-03-10,-0.01176896,0.0050110251,0.0059523797,21,100
Market-Adjusted Model,16099,2023-03-10,-0.185483883,-0.168361917,-0.167762544,21,100
Market-Adjusted Model,16100,2023-03-10,-0.289308194,-0.206900912,-0.271586854,21,100
Market-Adjusted Model,16104,2023-03-10,-0.115879826,-0.094572014,-0.098158487,21,100
Market-Adjusted Model,16107,2023-03-10,-0.025825357,-0.008152073,-0.008104017,21,100
Market-Adjusted Model,16108,2023-03-10,-0.118750036,-0.090839242,-0.101028696,21,100
Market-Adjusted Model,16111,2023-03-10,-0.290155417,-0.298621232,-0.272434078,21,100
